NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV,latitude,longitude
112190,,NEUMARKTER SATTEL,OS,4707N,01424E,1125.0,47.11666666666667,14.4
112250,,WEITENSFELD,OS,4651N,01412E,705.0,46.85,14.2
112290,,ST. ANDRAE/LAVANTTA,OS,4647N,01448E,468.0,46.78333333333333,14.8
112310,LOWK,KLAGENFURT(CIV/MIL),OS,4639N,01420E,452.0,46.65,14.333333333333334
112320,,FEISTRITZ/BLEIBURG,OS,4634N,01446E,527.0,46.56666666666667,14.766666666666667
112400,LOWG,GRAZ (MIL/CIV),OS,4700N,01526E,347.0,47.0,15.433333333333334
112410,,SCHOECKL MOUNTAIN,OS,4712N,01528E,1438.0,47.2,15.466666666666667
112450,,BAD GLEICHENBERG,OS,4652N,01554E,303.0,46.86666666666667,15.9
112480,,BAD RADKERSBURG,OS,4642N,01559E,208.0,46.7,15.983333333333333
112520,,VIRGEN,OS,4700N,01227E,1198.0,47.0,12.45
112550,,KOETSCHACH/MAUTHEN,OS,4641N,01300E,707.0,46.68333333333333,13.0
112600,,MALLNITZ (AUT),OS,4659N,01312E,1184.0,46.983333333333334,13.2
112610,,OBERVELLACH,OS,4656N,01311E,822.0,46.93333333333333,13.183333333333334
112700,,DELLACH IM DRAUTAL,OS,4645N,01305E,630.0,46.75,13.083333333333334
112750,,ABRIACH,OS,4644N,01351E,896.0,46.733333333333334,13.85
112800,,MURAU,OS,4707N,01411E,818.0,47.11666666666667,14.183333333333334
112900,,GRAZ/UNIVERSITAET,OS,4707N,01527E,377.0,47.11666666666667,15.45
112920,,LASSNITZHOEHE (AUT),OS,4705N,01535E,544.0,47.083333333333336,15.583333333333334
113020,,DORNBIRN,OS,4726N,00944E,410.0,47.43333333333333,9.733333333333333
113080,,WARTH,OS,4715N,01011E,1475.0,47.25,10.183333333333334
113100,,ISCHGL/IDALDE (AUT),OS,4659N,01019E,2323.0,46.983333333333334,10.316666666666666
113400,,SCHMITTENHOEHE(AUT),OS,4720N,01244E,1956.0,47.333333333333336,12.733333333333333
113450,,ST. VEIT IM PONGAU,OS,4721N,01309E,750.0,47.35,13.15
113460,,RAURIS,OS,4715N,01250E,917.0,47.25,12.833333333333334
113480,,MARIAPFARR,OS,4709N,01345E,1153.0,47.15,13.75
113500,,SALZBURG/FREISAAL,OS,4747N,01303E,422.0,47.78333333333333,13.05
113510,,RAMSAU/DACHSTEIN,OS,4725N,01338E,1207.0,47.416666666666664,13.633333333333333
113550,,WINDISCHGARSTEN AUT,OS,4744N,01420E,611.0,47.733333333333334,14.333333333333334
113560,,BAD AUSSEE (AUT),OS,4737N,01347E,661.0,47.61666666666667,13.783333333333333
