NUMBER,ICAO,NAME,COUNTRY,LAT,LON,ELEV
719770,ZOC,OLD CROW (AUTO8),CN,6734N,13950W,251
719780,WOI,IVVAVIK PARK AUTO8,CN,6909N,14009W,244
719790,WPA,HENDERICKSON AUTO8,CN,5347N,11826W,1542
719800,WQF,RABBIT KETTLE AUT,CN,6158N,12713W,634
719810,WMU,RAMPART RIV (AUTO8),CN,6557N,13028W,91
719820,WNW,HALDANE RIV AUTO8,CN,6704N,12106W,186
719830,ZRP,RAE POINT (AUTO8),CN,7522N,10543W,12
719840,ZPK,PAULATUK (AUTO),CN,6921N,12403W,6
719850,ZUB,TUKTOYAKTUK (AUTO),CN,6926N,13302W,6
719860,WMV,ST CHARLES CREEK,CN,6445N,12413W,122
719994,WQJ,SEDCO 710,CN,4630N,04830W,0
720000,,BOGUS AMERICAN,US,0000N,00000W,
722010,EYW,KEY WEST INTL ARPT,FL,2433N,08145W,6
722015,NQX,KEY WEST NAS,FL,2434N,08141W,2
722016,MTH,MARATHON AIRPORT,FL,2444N,08103W,2
722019,X84,ISLAMORADA (CGS),FL,2457N,08035W,1
722020,MIA,MIAMI INTL AIRPORT,FL,2549N,08017W,4
722023,AMX,MIAMI (NEXRAD),FL,2537N,08025W,34
722024,OPF,MIAMI/OPA LOCKA,FL,2554N,08017W,3
722025,FLL,FT LAUDERDALE/HOLLY,FL,2604N,08009W,7
722026,HST,HOMESTEAD AFB,FL,2529N,08023W,2
722027,X87,MIAMI BEACH (CGS),FL,2546N,08008W,1
722028,X86,FOWEY ROCKS (CGS),FL,2535N,08006W,1
722029,TMB,MIAMI/KENDALL-TAMIA,FL,2539N,08026W,3
722030,PBI,WEST PALM BEACH,FL,2641N,08007W,6
722035,X53,CLEWISTON,FL,2645N,08057W,6
722036,X81,LAKE WORTH INLET,FL,2646N,08003W,1
722037,HWO,HOLLYWOOD/N. PERRY,FL,2600N,08014W,3
722038,APF,NAPLES MUNICIPAL,FL,2609N,08146W,3
722039,FXE,FORT LAUDERDALE,FL,2612N,08010W,4
722040,MLB,MELBOURNE REGIONAL,FL,2806N,08039W,11
722044,GIF,WINTER HAVEN (ASOS),FL,2803N,08145W,44
722045,VRB,VERO BEACH MUNI,FL,2739N,08025W,8
722046,TIX,TITUSVILLE,FL,2831N,08048W,11
722047,X82,FORT PIERCE (CGS),FL,2728N,08018W,1
722048,X80,JUPITER INLET (CGS),FL,2702N,08007W,1
722049,PMP,POMPANO BEACH,FL,2615N,08007W,7
722050,MCO,ORLANDO JETPORT   &,FL,2826N,08119W,32
722053,ORL,ORLANDO/HERNDON   &,FL,2833N,08120W,34
722054,BKV,BROOKSVILLE (ASOS),FL,2828N,08227W,20
722055,OCF,OCALA MUNI (AWOS),FL,2910N,08213W,27
722056,DAB,DAYTONA BEACH RGNL,FL,2911N,08103W,11
722057,SFB,SANFORD/ORLANDO,FL,2847N,08114W,17
722058,1J3,PONCE DE LEON INLET,FL,2904N,08055W,3
722059,90J,ASTOR NAS,FL,2907N,08134W,33
722060,JAX,JACKSONVILLE INTL,FL,3030N,08142W,9
722064,X41,PORT RICHEY (ASOS),FL,2821N,08237W,12
722065,NIP,JACKSONVILLE NAS,FL,3014N,08141W,7
722066,NRB,MAYPORT NS,FL,3024N,08125W,5
722067,NZC,CECIL FIELD NAS,FL,3013N,08153W,25
722068,CRG,JACKSONVILLE/CRAIG,FL,3020N,08131W,12
722070,SAV,SAVANNAH MUNICIPAL,GA,3208N,08112W,15
722077,1J2,TYBEE (CGS),GA,3201N,08051W,2
722079,49J,HILTON HEAD (AWOS),SC,3213N,08042W,6
722080,CHS,CHARLESTOWN MUNI,SC,3254N,08002W,15
722083,IGC,CHARLESTON AFB,SC,3254N,08003W,14
722084,NEX,NISE CHARLESTON,SC,3255N,07959W,12
722085,NBC,BEAUFORT MCAS,SC,3229N,08043W,12
722087,86J,SULLIVANS ISL (CGS),SC,3246N,07951W,3
